Case_Number,Date,Offense,Description,Block,City,State,latitude,longitude
2018012317,11/22/18,Assault,DOMESTIC  PHYSI,WINDSOR CT,Naperville  ,IL,41.744419,-88.110316
2018012046,11/15/18,Assault,DISORDERLY COND,BOND ST,Naperville  ,IL,41.788584,-88.202334
2018011002,10/18/18,Assault,BATTERY  COLD,MISTFLOWER LN,Naperville  ,IL,41.696337,-88.211951
2018012054,11/15/18,Assault,DOMESTIC DELAYE,BROOKDALE RD,Naperville  ,IL,41.784215,-88.191902
2018010937,10/17/18,Assault,FIGHT IN PROGRE,S WASHINGTON ST,Naperville  ,IL,41.760923,-88.148953
2018002000,2/24/18,Assault,FIGHT IN PROGRE,E JEFFERSON AV/S WASHINGTON ST,Naperville  ,IL,41.772922,-88.147841
2018008499,8/11/18,Assault,DOMESTIC  PHYSI,KENTSHIRE CR,Naperville  ,IL,41.728369,-88.205162
2018010354,9/30/18,Assault,DISORDERLY COND,COUNTRY LAKES DR,Naperville  ,IL,41.795713,-88.208936
2018008182,7/26/18,Assault,FOLLOW UP,E BAILEY RD,Naperville  ,IL,41.740441,-88.126846
2018003063,3/25/18,Assault,DOMESTIC  VERBA,S WRIGHT ST,Naperville  ,IL,41.762883,-88.138171
2018011585,11/2/18,Assault,FIGHT IN PROGRE,S WASHINGTON ST,Naperville  ,IL,41.777618,-88.147607
2018008414,8/8/18,Assault,BATTERY  COLD,SHERMAN AV,Naperville  ,IL,41.789179,-88.134322
2018005001,5/16/18,Assault,DOMESTIC  VERBA,NAPERVILLE WHEATON RD,Naperville  ,IL,41.795831,-88.122253
2018002909,3/20/18,Assault,DOMESTIC  PHYSI,BASSWOOD DR,Naperville  ,IL,41.752368,-88.146247
2018010730,10/10/18,Assault,BATTERY  COLD,BOND ST,Naperville  ,IL,41.788584,-88.202334
2018003517,4/8/18,Assault,TRAFFIC STOP,ROCK SPRING RD/PLAINFIELD NAPERVILLE RD,Naperville  ,IL,41.721411,-88.167408
2018004817,5/11/18,Assault,DISORDERLY COND,PAPAGO CT,Naperville  ,IL,41.797131,-88.145072
2018008665,8/16/18,Assault,FIGHT IN PROGRE,INLAND CR,Naperville  ,IL,41.782273,-88.210409
2018008097,7/31/18,Assault,DISORDERLY COND,E CHICAGO AV,Naperville  ,IL,41.771594,-88.146739
2018007328,7/12/18,Assault,DOMESTIC  VERBA,BRIARHILL CT,Naperville  ,IL,41.724692,-88.155449
2018010522,10/4/18,Assault,DOMESTIC  PHYSI,S RIVER RD,Naperville  ,IL,41.777771,-88.177322
2018009831,9/16/18,Assault,DOMESTIC  VERBA,ELMWOOD DR,Naperville  ,IL,41.753564,-88.153968
2018001514,2/9/18,Assault,SUSPICIOUS VEH,ADA LN,Naperville  ,IL,41.754296,-88.181403
2018003849,4/17/18,Assault,BATTERY  COLD,BOND ST,Naperville  ,IL,41.788584,-88.202334
2018003067,3/25/18,Assault,DISORDERLY COND,OLYMPUS DR,Naperville  ,IL,41.753584,-88.139255
2018008520,8/12/18,Assault,DISORDERLY COND,E CHICAGO AV,Naperville  ,IL,41.771594,-88.146739
2018013514,12/28/18,Assault,ROBBERY COLD,S ROUTE 59,Naperville  ,IL,41.712897,-88.205969
2018009591,9/10/18,Assault,ASSIST FIRE DEP,MCDOWELL RD,Naperville  ,IL,41.796373,-88.200634
2018007907,7/26/18,Assault,DOMESTIC  PHYSI,SHERIDAN CR,Naperville  ,IL,41.785107,-88.203318
2018012195,11/19/18,Assault,DOMESTIC  PHYSI,E BENTON AV,Naperville  ,IL,41.775062,-88.146373
2018009193,8/30/18,Assault,FIGHT IN PROGRE,KIOWA DR,Naperville  ,IL,41.739462,-88.119657
2018006303,6/15/18,Assault,DISORDERLY COND,SHOWPLACE DR,Naperville  ,IL,41.713126,-88.207189
2018006067,6/9/18,Assault,BATTERY  COLD,NORTH AURORA RD,Naperville  ,IL,41.781218,-88.204325
2018007897,7/26/18,Assault,DOMESTIC  PHYSI,TEMPLAR DR,Naperville  ,IL,41.730398,-88.145978
2018011208,10/24/18,Assault,HANGUP 911 CALL,FRASER CR,Naperville  ,IL,41.700264,-88.229815
2018003659,4/9/18,Assault,BATTERY  COLD,AURORA AV,Naperville  ,IL,41.768891,-88.154965
2018007339,7/12/18,Assault,DOMESTIC  PHYSI,BEACONSFIELD AV,Naperville  ,IL,41.723854,-88.157423
2018004626,5/6/18,Assault,ROBBERY IN PROG,HIGH MEADOW RD,Naperville  ,IL,41.678251,-88.197213
2018006834,6/29/18,Assault,DOMESTIC  PHYSI,E OGDEN AV,Naperville  ,IL,41.787294,-88.134836
2018000723,1/17/18,Assault,BATTERY  COLD,FORT HILL DR,Naperville  ,IL,41.772052,-88.195929
