Case_Number,Date,Block,Offense,Description,City,State,latitude,longitude
2018012317,11/22/18,WINDSOR CT,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.744419,-88.110316
2018012046,11/15/18,BOND ST,Assault,DISORDERLY COND,Naperville  ,IL,41.788584,-88.202334
2018011002,10/18/18,MISTFLOWER LN,Assault,BATTERY  COLD,Naperville  ,IL,41.696337,-88.211951
2018012054,11/15/18,BROOKDALE RD,Assault,DOMESTIC DELAYE,Naperville  ,IL,41.784215,-88.191902
2018010937,10/17/18,S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.760923,-88.148953
2018002000,2/24/18,E JEFFERSON AV/S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.772922,-88.147841
2018008499,8/11/18,KENTSHIRE CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.728369,-88.205162
2018010354,9/30/18,COUNTRY LAKES DR,Assault,DISORDERLY COND,Naperville  ,IL,41.795713,-88.208936
2018008182,7/26/18,E BAILEY RD,Assault,FOLLOW UP,Naperville  ,IL,41.740441,-88.126846
2018003063,3/25/18,S WRIGHT ST,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.762883,-88.138171
2018011585,11/2/18,S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.777618,-88.147607
2018008414,8/8/18,SHERMAN AV,Assault,BATTERY  COLD,Naperville  ,IL,41.789179,-88.134322
2018005001,5/16/18,NAPERVILLE WHEATON RD,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.795831,-88.122253
2018002909,3/20/18,BASSWOOD DR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.752368,-88.146247
2018010730,10/10/18,BOND ST,Assault,BATTERY  COLD,Naperville  ,IL,41.788584,-88.202334
2018003517,4/8/18,ROCK SPRING RD/PLAINFIELD NAPERVILLE RD,Assault,TRAFFIC STOP,Naperville  ,IL,41.721411,-88.167408
2018004817,5/11/18,PAPAGO CT,Assault,DISORDERLY COND,Naperville  ,IL,41.797131,-88.145072
2018008665,8/16/18,INLAND CR,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.782273,-88.210409
2018008097,7/31/18,E CHICAGO AV,Assault,DISORDERLY COND,Naperville  ,IL,41.771594,-88.146739
2018007328,7/12/18,BRIARHILL CT,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.724692,-88.155449
2018010522,10/4/18,S RIVER RD,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.777771,-88.177322
2018009831,9/16/18,ELMWOOD DR,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.753564,-88.153968
2018001514,2/9/18,ADA LN,Assault,SUSPICIOUS VEH,Naperville  ,IL,41.754296,-88.181403
2018003849,4/17/18,BOND ST,Assault,BATTERY  COLD,Naperville  ,IL,41.788584,-88.202334
2018003067,3/25/18,OLYMPUS DR,Assault,DISORDERLY COND,Naperville  ,IL,41.753584,-88.139255
2018008520,8/12/18,E CHICAGO AV,Assault,DISORDERLY COND,Naperville  ,IL,41.771594,-88.146739
2018013514,12/28/18,S ROUTE 59,Assault,ROBBERY COLD,Naperville  ,IL,41.712897,-88.205969
2018009591,9/10/18,MCDOWELL RD,Assault,ASSIST FIRE DEP,Naperville  ,IL,41.796373,-88.200634
2018007907,7/26/18,SHERIDAN CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.785107,-88.203318
2018012195,11/19/18,E BENTON AV,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.775062,-88.146373
2018009193,8/30/18,KIOWA DR,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.739462,-88.119657
